tx_to,txs,wallets,mean_legs,max_legs,zero_prio,gas_eth,searcher_score,name
0x06cff7088619c7178f5e14f0b119458d08d2f5ef,512,10,8.556640625,154,1.0,0.06756527205014103,3,unknown
0x8a6df6c629cf940b0cc4a32101caa4a022e80234,447,1,6.961968680089486,15,1.0,0.03933317704167585,3,unknown
0xd226997439ecfbeff8e110c8c78c8a7eefd19f89,378,11,12.93915343915344,103,1.0,0.09868297248310416,3,unknown
0x50d3865a63d52c0a54e4679949647ea752107390,195,6,54.14871794871795,161,1.0,1.657146163432081,3,unknown
0xfbd4cdb413e45a52e2c8312f670e9ce67e794c37,12145,21,20.503664059283654,144,0.0069164265129683,1081.7353416670994,2,unknown
0x51c72848c68a965f66fa7a88855f9f7784502a7f,7413,80,1.0,1,0.647780925401322,1.7838476713708404,2,Wintermute (market maker)
0x1f2f10d1c40777ae1da742455c65828ff36df387,1706,1,5.829425556858148,50,0.1406799531066823,3.957875082460196,2,unknown
0x5050e08626c499411b5d0e0b5af0e83d3fd82edf,1308,47,1.0,1,0.9732415902140673,0.0280825553536624,2,Symbolic Capital Partners
0xbc0663ef63add180609944c58ba7d4851890ca45,736,6,4.385869565217392,30,0.0,0.34768975627400844,2,unknown
0x9008d19f58aabd9ed0d60971565aa8510560ab41,660,16,7.154545454545454,54,0.0,0.48735855656756893,2,CoW GPv2Settlement
0x00000000009e50a7ddb7a7b0e2ee6604fd120e49,611,2,11.795417348608838,85,0.0,0.4591747615402335,2,unknown
0x3e9ba86f0ec034457eb9e0061ae13d29d8a40b12,442,1,3.1221719457013575,7,1.0,0.05911284179571204,2,unknown
0x4b08528d3c0bc46fab2701acef64cd53d6b3f9cd,383,1,10.819843342036554,21,0.0,0.1545994196422217,2,unknown
0x555ce236c0220695b68341bc48c68d52210cc35b,305,1,6.18360655737705,52,0.0,0.5889895697664476,2,unknown
0x0000000000007a8d56014359bf3e98f18b7773f9,300,1,5.013333333333334,23,0.0033333333333333335,0.06655488758058915,2,unknown
0x0000000000efa780a8e6f50fc5de9c1497bfd175,296,2,5.537162162162162,32,0.0,0.07253624875542172,2,unknown
0x00000000ecfb25b63e2bc620a08e2c0272c551d8,264,3,28.681818181818183,182,0.003787878787878788,0.29537864032220407,2,unknown
0xd5adabc8f98a485c8efa50599afbe926b3e6dd49,263,4,21.832699619771862,74,0.026615969581749048,0.10458348171074697,2,unknown
0x81463b0f960f247f704377661ec81c1fd65b5128,258,3,9.748062015503876,91,0.0,0.24393828250163274,2,unknown
0x1921e0ff550c09066edd4df05d304151c45e77de,253,8,4.2727272727272725,12,0.0,0.0873210993411612,2,unknown
0x00000f91109c4d0007e90000d9facad5298a0cac,242,7,2.5991735537190084,18,0.5991735537190083,0.016798985347558252,2,unknown
0xbee3211ab312a8d065c4fef0247448e17a8da000,225,10,1.6044444444444443,16,1.0,0.018299206820184946,2,unknown
0x42e213a3ad048e899b89ea8cb11d21bc97b84748,223,1,4.762331838565022,24,0.0,0.49315317610589043,2,unknown
0x000000002b0184b12e908bf97941f2f5385c9820,193,2,11.357512953367875,95,0.0051813471502590676,0.20066863370580093,2,unknown
0xc786846e1b65b77de9a87d48f440ba0f9007fac8,179,6,3.977653631284916,15,1.0,0.013548073217706891,2,unknown
0x3da93f11c7f61cc06a800b5fe483b9604e463369,150,1,6.066666666666666,29,0.0,0.06237531309465083,2,unknown
0x78ace9b2ee9a31737fad748015266a59f32dc79a,146,7,4.568493150684931,33,0.0,0.018903220512244016,2,unknown
0x6dc71298ce1b61ba4c83d5cdf4b3b1e9aa558a7f,103,1,2.0388349514563107,4,1.0,0.0029124558295822948,2,unknown
0xa69babef1ca67a37ffaf7a485dfff3382056e78c,3361,295,1.0,1,0.958048199940494,0.17673691095853644,1,Symbolic Capital Partners
0xc0b7d8de1c2c7ebfc483d72b5750cf07a4e85a2e,2842,20,1.0,1,0.0,0.09002517022528697,1,unknown
0x5e1f62dac767b0491e3ce72469c217365d5b48cc,2250,1684,8.515555555555556,50,0.009333333333333334,3.9419971913165552,1,unknown
0x0000000000001ff3684f28c67538d4d072c22734,995,619,4.116582914572865,34,0.0,0.686637196252418,1,0x AllowanceHolder
0x01bd2da640345f1c29831b7cef9a434298408172,707,1,3.685997171145686,4,0.0,0.05389252074503733,1,unknown
0xf6801d319497789f934ec7f83e142a9536312b08,541,396,8.5637707948244,48,0.0,0.6067718040889061,1,OKX DexRouter (DAG)
0xe08d97e151473a848c3d9ca3f323cb720472d015,495,1,2.9454545454545453,14,0.24242424242424243,0.04204475498922374,1,0xc0ffeebabe (searcher)
0x89c6340b1a1f4b25d36cd8b063d49045caf3f818,419,374,6.508353221957041,50,0.0,0.2782865765073823,1,unknown
0xc46fcd651bd6ac11255886feabdcebd58b870c86,418,2,2.1435406698564594,16,0.0,0.7063890347879681,1,unknown
0xc31a49d1c4c652af57cefdef248f3c55b801c649,318,1,2.952830188679245,3,0.0,0.004648978775144414,1,unknown
0xe2228e892aae78fffd5f27d158074e888b72b5b9,236,1,3.8559322033898304,24,0.0,0.00884316628343415,1,unknown
0x2c242c8da2c5b25191bb6d2d88b8703446d28fc6,214,1,1.8738317757009346,2,0.0,0.007673773179294728,1,unknown
0x935bfb495e33f74d2e9735df1da66ace442ede48,212,1,2.957547169811321,3,0.0,0.006320066948174077,1,unknown
0xa77aec8a02982011390cdc5a33a328cb2effcb93,186,6,3.086021505376344,5,0.0,0.009804266612427644,1,unknown
0x0000000071727de22e5e9d8baf0edac6f37da032,177,64,6.9491525423728815,60,0.0,0.16971411858309846,1,unknown
0x0eae044f00b0af300500f090ea00027097d03000,143,8,6.965034965034965,27,0.0,0.015539771920404422,1,unknown
0x6745024462abf2c049f54b381c4ad4a8c8d999c4,140,5,3.6785714285714284,20,0.0,0.051479657335396126,1,unknown
0x98c3d3183c4b8a650614ad179a1a98be0a8d6b8e,130,6,1.0,1,0.0,0.24980494522044866,1,unknown
0x00000000009726632680fb29d3f7a9734e3010e2,118,91,16.872881355932204,81,0.0,0.1277450457638816,1,Rainbow Router
0x0d05a7d3448512b78fa8a9e46c4872c88c4a0d05,112,32,5.678571428571429,63,0.008928571428571428,0.061104190497506754,1,unknown
0x00000047bb99ea4d791bb749d970de71ee0b1a34,104,53,4.1826923076923075,21,0.0,0.027346000997143464,1,unknown
0x278d858f05b94576c1e6f73285886876ff6ef8d2,100,4,1.0,1,0.0,0.001210416374492913,1,unknown
0xac4c6e212a361c968f1725b4d055b47e63f80b75,30933,5103,1.395596935311803,22,0.0003879352148191252,4.883538754350991,0,SushiSwap RedSnwapper
0xeff6cb8b614999d130e537751ee99724d01aa167,2643,236,1.0,1,0.00832387438516837,0.39549019110939343,0,unknown
0x663dc15d3c1ac63ff12e45ab68fea3f0a883c251,1321,99,3.86222558667676,66,0.0,0.7519116581341888,0,unknown
0x881d40237659c251811cec9c364ef91dc08d300c,1245,1171,2.0393574297188755,39,0.0,1.8033686114601684,0,MetaMask Swaps
0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,1122,1012,3.9705882352941178,65,0.0,0.6160235478739191,0,LI.FI Diamond
0xbbbfd134e9b44bfb5123898ba36b01de7ab93d98,997,154,2.7071213640922767,22,0.0,0.4120092874923027,0,Reservoir ApprovalProxy
0x111111125421ca6dc452d289314280a0f8842a65,992,711,1.8397177419354838,16,0.0,0.284389393721873,0,1inch AggregationRouterV6
0xd9e1ce17f2641f24ae83637ab66a2cca9c378b9f,955,255,1.2010471204188482,2,0.0010471204188481676,0.265725414517164,0,SushiSwap Router02 (UniswapV2Router02)
0x76600115c5cbe56d82bde2af8cafb3801aee5efe,683,59,1.0,1,0.0,0.008501725131208103,0,unknown
0xccc88a9d1b4ed6b0eaba998850414b24f1c315be,452,178,2.6128318584070795,29,0.0,0.13622234886917797,0,unknown
0x1111111254eeb25477b68fb85ed929f73a960582,435,299,2.2367816091954023,12,0.004597701149425287,0.12176663970380565,0,1inch AggregationRouterV5
0x6aba0315493b7e6989041c91181337b662fb1b90,429,149,2.386946386946387,15,0.0,0.19305716577135137,0,unknown
0x6131b5fae19ea4f9d964eac0408e4408b66337b5,327,187,2.5718654434250765,23,0.0030581039755351682,0.20694079604341206,0,KyberSwap MetaAggregatorV2
0x5ff137d4b0fdcd49dca30c7cf57e578a026d2789,297,59,2.3905723905723906,13,0.0,0.09749691683965421,0,unknown
0xb300000b72deaeb607a12d5f54773d1c19c7028d,227,197,2.9911894273127753,17,0.0,0.03454180546219088,0,unknown
0x69460570c93f9de5e2edbc3052bf10125f0ca22d,209,127,1.5406698564593302,10,0.0,0.038345393316776055,0,unknown
0xbc1d9760bd6ca468ca9fb5ff2cfbeac35d86c973,191,131,3.712041884816754,37,0.0,0.01817630804072012,0,unknown
