action,actors,amount_raw_sum,events,market,month,txs
supply,692,374144318709131.0,2305,cusdcv3,2025-11-01,2301
supply,369,169667857945921.0,1095,cusdcv3,2025-12-01,1095
supply,488,196933213096976.0,1493,cusdcv3,2026-01-01,1493
supply,451,955445240299880.0,1600,cusdcv3,2026-02-01,1598
withdraw,720,406805515139512.0,2109,cusdcv3,2025-11-01,2079
withdraw,521,182866338720825.0,1470,cusdcv3,2025-12-01,1452
withdraw,542,163793026979047.0,1548,cusdcv3,2026-01-01,1539
withdraw,578,934144075324330.0,2001,cusdcv3,2026-02-01,1975
supply,39,1.023731020766448e+25,71,cusdsv3,2025-11-01,71
supply,32,3.86681852024656e+24,48,cusdsv3,2025-12-01,48
supply,26,3.847179803965634e+24,40,cusdsv3,2026-01-01,40
supply,26,1.558038354023423e+24,37,cusdsv3,2026-02-01,37
withdraw,70,1.053183866547339e+25,115,cusdsv3,2025-11-01,115
withdraw,33,3.0054186399035727e+24,45,cusdsv3,2025-12-01,45
withdraw,25,4.8173820069588707e+24,56,cusdsv3,2026-01-01,56
withdraw,30,1.9991947286257496e+24,46,cusdsv3,2026-02-01,46
supply,284,170741122151215.0,794,cusdtv3,2025-11-01,794
supply,289,146023191769361.0,615,cusdtv3,2025-12-01,615
supply,294,106357530247144.0,711,cusdtv3,2026-01-01,711
supply,254,133187849934808.0,633,cusdtv3,2026-02-01,633
withdraw,328,178106446271621.0,848,cusdtv3,2025-11-01,847
withdraw,251,138020722280489.0,703,cusdtv3,2025-12-01,703
withdraw,290,106075998803126.0,781,cusdtv3,2026-01-01,781
withdraw,286,98009872187667.0,759,cusdtv3,2026-02-01,759
supply,20,5.820518387107679e+22,392,cwethv3,2025-11-01,392
supply,13,2.946831276169663e+22,317,cwethv3,2025-12-01,317
supply,14,5.914194881748398e+22,391,cwethv3,2026-01-01,391
supply,17,6.560583308337025e+22,432,cwethv3,2026-02-01,432
withdraw,181,5.579442526338914e+22,361,cwethv3,2025-11-01,361
withdraw,113,3.0300336495482137e+22,333,cwethv3,2025-12-01,333
withdraw,128,5.107591522556985e+22,488,cwethv3,2026-01-01,483
withdraw,147,7.66429893595472e+22,459,cwethv3,2026-02-01,457
