wallet,sushi_grants,uniswap_grants,sushi_unlimited_grants,uniswap_unlimited_grants,sushi_ever_unlimited,uniswap_ever_unlimited,is_bot
0x00c0ae5c3685b4023881342c951fbe19bbabc9bc,6,1,0,1,False,True,False
0x00dbf8238b105d8142233affc0941fa71571a810,49,3,0,3,False,True,False
0x00e4ec0f0d570841edddf9b08fbe259be57c8aa1,3,3,1,2,True,True,False
0x011aeda0e46a82c27704a5a1c9fb8db60c094468,2,7,0,6,False,True,False
0x012d5968a6c1d53833f07b93f55686963a67e839,1,2,0,0,False,False,True
0x0182bb2e86d40b913b2f2b65e367793db0721bd0,3,6,2,6,True,True,False
0x0184280b6ae0f81922b4be8282969ca26f9af8ed,3,6,3,6,True,True,False
0x020bc9f41305596060b78e054de9180581a83e9c,1,1,0,0,False,False,False
0x0221641ad96390f9ca8c8f0f9fee001fbc4bd031,2,1,0,1,False,True,False
0x022528ef155ab5bc86664278d51cc43f268e44c7,6,2,0,2,False,True,False
0x026784b924f11e3dca28d1258bd7a374e3c33a3e,21,1,0,1,False,True,False
0x02dbed15e593a5a02fa6719c5d5686462b8222a2,3,6,3,6,True,True,False
0x03657fe86dbd048e796c7befdae5bf8b902be90c,1,3,0,3,False,True,False
0x0372748dbb9f3263b87317fd384e8a04a59d9ee9,2,6,2,6,True,True,False
0x03d12a72366917cdc49b3343dd83dcfe5521cd99,5,1,0,1,False,True,False
0x044f05a0fcf030c53ea6d50ddc5c0a44527c1b47,1,2,1,2,True,True,False
0x049f9c0abfe0132584b35ae98d384a39c1fe10ff,4,15,2,15,True,True,False
0x04bfd42dd29bd0820a5812a99361096fd3bf1e59,2,16,2,16,True,True,False
0x055827b26f2109ea9c9a7e288febebae61be6446,2,1,0,1,False,True,False
0x0582826b858eece18da39266bd72178e0757b378,1,7,0,7,False,True,False
0x0590c9a1c21f54b24f7d81aac821dd25c7ca2ae2,3,2,0,2,False,True,False
0x05e291a0e768bfee9053218c41342730f68db38f,3,6,3,6,True,True,False
0x062d06f8ddc5b492b54145498750eea95e7e8f21,10,2,0,1,False,True,False
0x068bddf11eee78ac3db33c0b3d8144ca7fe72d72,32,2,0,2,False,True,False
0x071034788fc8da332e85e0bee0f81d58157a1383,1,1,0,1,False,True,False
0x077892a4732dd1d40cf77b7650ede61b4202a5d9,40,1,0,1,False,True,False
0x07cc028308fce865e6d9204558612260968573a0,12,1,0,1,False,True,False
0x08237b495d89d089d0d5ba919eaa908e7928e052,4,6,4,6,True,True,False
0x08625b473efbacf2748381c1c13b24f240c7c522,3,6,3,6,True,True,False
0x0898fc7756a82680c38fc14910ebac5f2a4b54a1,,8,,8,,True,False
0x08eaad5dd540b9ada872a2afd5b9b04c6161897d,3,6,3,6,True,True,False
0x094056b1acdc605879a7257f6f60b43262a5f18d,2,1,0,1,False,True,False
0x09955c2035b7a5bb74e849729cff1ffc8ea1dc7c,3,6,3,6,True,True,False
0x099b54010acfa6f15aefea3e7aa63e3f1729ae3f,1,2,0,2,False,True,False
0x09c5a1ddd83d586a14f964521b855319a169ae3d,1,2,0,0,False,False,False
0x09d41fefde5d7868d4da99003d65afe95a485ef4,2,7,2,5,True,True,False
0x09ee46e602e36318d9049cfe7b2125de716fc9e7,11,1,0,1,False,True,False
0x0a6dfe5a7ed1866dab980f74b73ed3ed46f9bec4,3,7,3,7,True,True,False
0x0a8594dcc8c0cc25d4a1a24ba9dcc0baa2a617d1,5,5,4,5,True,True,False
0x0ac7b2ae885383e9a2b839c7aecfc57cf3e227e4,1,2,0,0,False,False,False
0x0b51bd0963a32349b63b95f87d819d3075856ff1,2,1,0,1,False,True,False
0x0b5654c15f1f8200083c2d9298ae9ac08fcad2a4,6,5,0,5,False,True,False
0x0bdf0c11631d76897e81b1a41be9f2222646c450,10,1,0,1,False,True,False
0x0beb251886b2c2696625ffb5311a9cf0a4a73e4e,3,7,3,7,True,True,False
0x0c4be1ac7edf172e0f617548f2a3e76561debc2e,2,1,0,1,False,True,False
0x0c71ffd11df342652c5da27a2a3e722f6288693d,3,7,0,7,False,True,False
0x0c72a8d7ad8c72911ebe6bc35016bd7ca23b80d7,5,5,2,5,True,True,False
0x0cc999827dc674f8795704bcdf2a47e966420ddb,3,6,3,6,True,True,False
0x0cea39af0a7f989d394eb8ee3e86db04f8a13c8d,4,5,4,5,True,True,False
0x0ced71bb79693ad7670d9b6aa85840595156cf26,22,5,0,1,False,True,False
0x0d391e3f07de335636ebc42e0f6e18fe50013919,3,6,2,6,True,True,False
0x0d7e92b1002f5aa5d41a286fa24ed5b14d09b54d,12,1,0,1,False,True,False
0x0de2e0a2dc75e864b8b9819d2d5ed0206d8d834c,4,4,0,1,False,True,False
0x0dfa39fbd4c01da42c0cdb835d943d31f2c9c5c9,18,1,0,1,False,True,False
0x0ecb8d4502991fa834fc5e1ba84c8a067548475e,4,6,4,6,True,True,False
0x0ed61a1952f34e762f16a14af603e9832c5af767,11,5,0,5,False,True,False
0x0efeb23883999b020015e141644ec4ae47598f7c,1,1,0,1,False,True,False
0x0f13745b77ca953cbdaf50b6dfd03cf24699e583,2,1,0,1,False,True,False
0x0f23626677fafcdf546ff101980b122a038d4792,24,1,0,1,False,True,False
0x0f57d849d6293500800a56aeb46b62dad4e51d49,29,40,0,1,False,True,False
0x0f5b36d9db6b3e2b8bcd7f0a7194065eafca77c2,1,3,0,1,False,True,False
0x0fa98be4e522a9339accb1469fe4543e83551e8a,1,1,0,0,False,False,False
0x0fb0681f1b3dfec26755bf740aae5ac798e99311,4,5,4,5,True,True,False
0x0fc0e8bc50a73333e0c9855be1c98fb845821f08,3,1,0,1,False,True,False
