relation,distinct_txs,txs_with_coinbase_transfer,pct
aave_v3.approvals,339597,230,0.0677
aave_v3.borrows,93107,2225,2.3897
aave_v3.delegation_events,32937,7,0.0213
aave_v3.permit2_events,38352,809,2.1094
aave_v3.supplies,125073,6387,5.1066
compound_v3.allow_events,37142,3,0.0081
compound_v3.approvals,31364,39,0.1243
compound_v3.permit2_events,4014,114,2.8401
compound_v3.supplies,9086,61,0.6714
compound_v3.withdraws,9990,517,5.1752
sushiswap_v2.approvals_all,494801,3043,0.615
sushiswap_v2.permit2_events_all,216460,604,0.279
sushiswap_v2.swaps_router_entry,31949,0,0.0
uniswap_v4.approvals,602812,395,0.0655
uniswap_v4.permit2_events,265882,4885,1.8373
uniswap_v4.swaps_sampled,478299,0,0.0
uniswap_v4.txs_broad,977106,257310,26.3339
